EDAD,P8_4_2,SEXO,subconjunto
69,1.0,2,Submuestra 1
61,1.0,2,Submuestra 1
45,1.0,2,Submuestra 1
70,1.0,2,Submuestra 1
18,1.0,2,Submuestra 1
36,1.0,2,Submuestra 1
20,1.0,2,Submuestra 1
26,1.0,2,Submuestra 1
10,1.0,2,Submuestra 1
33,1.0,2,Submuestra 1
45,1.0,2,Submuestra 1
53,2.0,2,Submuestra 1
21,1.0,2,Submuestra 1
7,1.0,2,Submuestra 1
12,1.0,2,Submuestra 1
31,1.0,2,Submuestra 1
27,1.0,2,Submuestra 1
57,1.0,2,Submuestra 1
51,2.0,2,Submuestra 1
52,1.0,2,Submuestra 1
26,1.0,2,Submuestra 1
46,1.0,2,Submuestra 1
13,1.0,2,Submuestra 1
26,1.0,2,Submuestra 1
76,1.0,2,Submuestra 1
23,1.0,2,Submuestra 1
61,2.0,2,Submuestra 1
25,2.0,2,Submuestra 1
32,1.0,2,Submuestra 1
38,1.0,2,Submuestra 1
24,1.0,2,Submuestra 1
57,1.0,2,Submuestra 1
66,1.0,2,Submuestra 1
29,1.0,2,Submuestra 1
67,1.0,2,Submuestra 1
31,1.0,2,Submuestra 1
18,1.0,2,Submuestra 1
63,1.0,2,Submuestra 1
44,1.0,2,Submuestra 1
68,2.0,2,Submuestra 1
42,1.0,2,Submuestra 1
68,1.0,2,Submuestra 1
31,1.0,2,Submuestra 1
39,1.0,2,Submuestra 1
20,1.0,2,Submuestra 1
16,1.0,2,Submuestra 1
8,1.0,2,Submuestra 1
59,1.0,2,Submuestra 1
72,1.0,2,Submuestra 1
56,1.0,2,Submuestra 1
44,1.0,2,Submuestra 1
19,1.0,2,Submuestra 1
23,1.0,2,Submuestra 1
47,2.0,2,Submuestra 1
21,1.0,2,Submuestra 1
60,1.0,2,Submuestra 2
76,1.0,2,Submuestra 2
50,1.0,2,Submuestra 2
68,1.0,2,Submuestra 2
24,1.0,2,Submuestra 2
7,1.0,2,Submuestra 2
64,1.0,2,Submuestra 2
46,1.0,2,Submuestra 2
33,1.0,2,Submuestra 2
52,1.0,2,Submuestra 2
60,1.0,2,Submuestra 2
66,1.0,2,Submuestra 2
70,1.0,2,Submuestra 2
6,1.0,2,Submuestra 2
60,1.0,2,Submuestra 2
37,1.0,2,Submuestra 2
17,1.0,2,Submuestra 2
43,1.0,2,Submuestra 2
18,1.0,2,Submuestra 2
34,1.0,2,Submuestra 2
56,1.0,2,Submuestra 2
28,1.0,2,Submuestra 2
12,1.0,2,Submuestra 2
28,1.0,2,Submuestra 2
31,1.0,2,Submuestra 2
34,1.0,2,Submuestra 2
24,1.0,2,Submuestra 2
63,1.0,2,Submuestra 2
27,1.0,2,Submuestra 2
25,1.0,2,Submuestra 2
20,1.0,2,Submuestra 2
77,1.0,2,Submuestra 2
10,1.0,2,Submuestra 2
26,1.0,2,Submuestra 2
12,1.0,2,Submuestra 2
28,2.0,2,Submuestra 2
29,1.0,2,Submuestra 2
59,1.0,2,Submuestra 2
8,1.0,2,Submuestra 2
12,1.0,2,Submuestra 2
50,1.0,2,Submuestra 2
72,2.0,2,Submuestra 2
21,1.0,2,Submuestra 2
34,1.0,2,Submuestra 2
62,1.0,2,Submuestra 2
25,1.0,2,Submuestra 2
33,1.0,2,Submuestra 2
18,1.0,2,Submuestra 2
28,1.0,2,Submuestra 2
49,1.0,2,Submuestra 2
7,1.0,2,Submuestra 2
23,1.0,2,Submuestra 2
15,1.0,2,Submuestra 2
15,1.0,2,Submuestra 2
20,1.0,2,Submuestra 2
45,2.0,2,Submuestra 2
49,1.0,2,Submuestra 2
36,1.0,2,Submuestra 2
30,1.0,2,Submuestra 3
33,1.0,2,Submuestra 3
32,2.0,2,Submuestra 3
9,1.0,2,Submuestra 3
30,1.0,2,Submuestra 3
29,1.0,2,Submuestra 3
69,2.0,2,Submuestra 3
18,1.0,2,Submuestra 3
52,2.0,2,Submuestra 3
36,1.0,2,Submuestra 3
49,1.0,2,Submuestra 3
58,2.0,2,Submuestra 3
23,1.0,2,Submuestra 3
13,1.0,2,Submuestra 3
56,1.0,2,Submuestra 3
29,1.0,2,Submuestra 3
28,1.0,2,Submuestra 3
45,2.0,2,Submuestra 3
28,2.0,2,Submuestra 3
39,1.0,2,Submuestra 3
18,1.0,2,Submuestra 3
32,1.0,2,Submuestra 3
17,1.0,2,Submuestra 3
18,1.0,2,Submuestra 3
37,1.0,2,Submuestra 3
23,1.0,2,Submuestra 3
51,2.0,2,Submuestra 3
56,1.0,2,Submuestra 3
22,1.0,2,Submuestra 3
80,2.0,2,Submuestra 3
53,1.0,2,Submuestra 3
33,1.0,2,Submuestra 3
28,1.0,2,Submuestra 3
19,1.0,2,Submuestra 3
48,1.0,2,Submuestra 3
80,2.0,2,Submuestra 3
44,1.0,2,Submuestra 3
28,1.0,2,Submuestra 3
50,2.0,2,Submuestra 3
47,1.0,2,Submuestra 3
20,1.0,2,Submuestra 3
35,1.0,2,Submuestra 3
10,1.0,2,Submuestra 3
12,1.0,2,Submuestra 3
29,1.0,2,Submuestra 3
15,1.0,2,Submuestra 3
9,1.0,2,Submuestra 3
39,1.0,2,Submuestra 3
54,1.0,2,Submuestra 3
57,2.0,2,Submuestra 3
43,1.0,2,Submuestra 3
52,1.0,2,Submuestra 3
42,1.0,2,Submuestra 3
77,1.0,2,Submuestra 3
37,1.0,2,Submuestra 3
6,1.0,2,Submuestra 3
