EDAD,P8_4_2,SEXO
69,1.0,2
61,1.0,2
45,1.0,2
70,1.0,2
18,1.0,2
36,1.0,2
20,1.0,2
26,1.0,2
10,1.0,2
29,1.0,1
33,1.0,2
45,1.0,2
65,2.0,1
53,2.0,2
21,1.0,2
7,1.0,2
12,1.0,2
31,1.0,2
27,1.0,2
63,1.0,1
57,1.0,2
72,2.0,1
51,2.0,2
52,1.0,2
26,1.0,2
46,1.0,2
13,1.0,2
19,1.0,1
26,1.0,2
76,1.0,2
49,2.0,1
26,1.0,1
23,1.0,2
17,1.0,1
65,1.0,1
61,2.0,2
68,2.0,1
24,1.0,1
25,2.0,2
32,1.0,2
39,1.0,1
40,1.0,1
36,1.0,1
38,1.0,2
30,1.0,1
24,1.0,2
44,2.0,1
21,1.0,1
29,1.0,1
30,1.0,1
17,1.0,1
26,1.0,1
24,1.0,1
73,2.0,1
57,1.0,2
27,1.0,1
31,1.0,1
66,1.0,2
29,1.0,2
17,1.0,1
36,1.0,1
39,1.0,1
50,1.0,1
12,1.0,1
30,1.0,1
70,1.0,1
18,1.0,1
11,1.0,1
30,1.0,1
67,1.0,2
24,1.0,1
31,1.0,2
18,1.0,2
63,1.0,2
44,1.0,2
23,1.0,1
30,1.0,1
68,2.0,2
42,1.0,2
68,1.0,2
74,1.0,1
31,1.0,2
39,1.0,2
20,1.0,2
16,1.0,2
8,1.0,2
59,1.0,2
72,1.0,2
8,1.0,1
31,1.0,1
17,1.0,1
56,1.0,2
44,1.0,2
19,1.0,2
45,1.0,1
23,1.0,2
47,2.0,2
28,1.0,1
21,1.0,2
35,1.0,1
